Time (ms)	Vapor Fraction
414.3333333	0.516769531
414.6666667	0.518217773
415	0.518631836
415.3333333	0.519479492
415.6666667	0.520954102
416	0.523854492
416.3333333	0.522923828
416.6666667	0.523661133
417	0.522612305
417.3333333	0.524986328
417.6666667	0.526699219
418	0.530317383
418.3333333	0.531141602
418.6666667	0.532882813
419	0.534916992
419.3333333	0.535566406
419.6666667	0.538072266
420	0.539836914
420.3333333	0.540485352
420.6666667	0.541041992
421	0.540162109
421.3333333	0.544634766
421.6666667	0.546427734
422	0.546257813
422.3333333	0.549014648
422.6666667	0.551551758
423	0.552167969
423.3333333	0.553490234
423.6666667	0.553268555
424	0.555141602
424.3333333	0.553350586
424.6666667	0.555238281
425	0.555330078
425.3333333	0.554407227
425.6666667	0.556297852
426	0.556458008
426.3333333	0.558665039
426.6666667	0.559755859
427	0.561005859
427.3333333	0.562326172
427.6666667	0.562234375
428	0.560132813
428.3333333	0.560742188
428.6666667	0.562001953
429	0.562246094
429.3333333	0.565874023
429.6666667	0.567144531
430	0.565650391
430.3333333	0.5645
430.6666667	0.560681641
431	0.55622168
431.3333333	0.55630957
